iter	Passed	Remaining
226	896	3051
227	898	3043
228	902	3037
229	905	3030
230	908	3024
231	911	3016
232	914	3010
233	917	3003
234	920	2997
235	923	2989
236	926	2983
237	929	2975
238	932	2969
239	935	2963
240	938	2956
241	941	2949
242	944	2943
243	948	2937
244	951	2930
245	954	2924
246	956	2917
247	960	2911
248	963	2904
249	966	2899
250	969	2892
251	972	2886
252	975	2879
253	979	2875
254	981	2868
255	984	2862
256	987	2856
257	990	2849
258	994	2845
259	997	2839
260	1000	2833
261	1003	2828
262	1007	2823
263	1010	2817
264	1013	2811
265	1016	2805
266	1020	2800
267	1023	2795
268	1027	2791
269	1030	2785
270	1034	2781
271	1037	2777
272	1041	2773
273	1044	2767
274	1047	2762
275	1051	2758
276	1055	2753
277	1058	2748
278	1061	2743
279	1065	2738
280	1068	2733
281	1072	2729
282	1075	2724
283	1079	2720
284	1082	2715
285	1085	2711
286	1089	2705
287	1092	2701
288	1095	2696
289	1099	2691
290	1102	2686
291	1105	2681
292	1109	2677
293	1112	2672
294	1116	2667
295	1119	2663
296	1123	2658
297	1126	2653
298	1129	2649
299	1133	2644
300	1136	2639
301	1139	2634
302	1142	2629
303	1146	2624
304	1149	2618
305	1152	2614
306	1156	2610
307	1159	2606
308	1163	2601
309	1166	2596
310	1170	2592
311	1173	2588
312	1177	2584
313	1180	2579
314	1184	2575
315	1187	2570
316	1191	2566
317	1194	2562
318	1198	2558
319	1202	2555
320	1205	2550
321	1209	2545
322	1212	2541
323	1216	2537
324	1219	2533
325	1223	2528
326	1226	2524
327	1230	2521
328	1234	2517
329	1237	2512
330	1240	2508
331	1244	2504
332	1247	2499
333	1251	2496
334	1255	2491
335	1258	2487
336	1262	2483
337	1265	2479
338	1269	2475
339	1273	2471
340	1276	2467
341	1279	2462
342	1283	2458
343	1286	2453
344	1290	2450
345	1294	2445
346	1298	2442
347	1301	2438
348	1305	2434
349	1308	2430
350	1312	2426
351	1316	2422
352	1319	2418
353	1322	2414
354	1326	2409
355	1330	2406
356	1333	2401
357	1337	2397
358	1340	2393
359	1343	2388
360	1347	2384
361	1350	2379
362	1354	2376
363	1357	2372
364	1361	2368
365	1364	2364
366	1368	2360
367	1372	2356
368	1375	2352
369	1378	2347
370	1382	2343
371	1385	2338
372	1389	2336
373	1393	2331
374	1396	2327
375	1400	2323
376	1403	2319
377	1407	2315
378	1410	2311
379	1414	2307
380	1418	2304
381	1421	2300
382	1425	2296
383	1429	2292
384	1432	2289
385	1436	2284
386	1439	2280
387	1443	2276
388	1446	2272
389	1450	2268
390	1453	2264
391	1457	2260
392	1460	2256
393	1464	2253
394	1468	2249
395	1472	2245
396	1475	2241
397	1478	2237
398	1482	2233
399	1486	2229
400	1489	2225
401	1492	2220
402	1496	2216
403	1499	2212
404	1502	2208
405	1506	2203
406	1509	2199
407	1513	2195
408	1516	2191
409	1519	2187
410	1523	2182
411	1526	2178
412	1529	2173
413	1532	2169
414	1535	2164
415	1539	2160
416	1542	2156
417	1546	2152
418	1549	2148
419	1553	2144
420	1555	2139
421	1559	2135
422	1562	2131
423	1565	2127
424	1569	2123
425	1572	2118
426	1575	2114
427	1578	2110
428	1582	2106
429	1585	2101
430	1588	2097
431	1592	2093
432	1595	2089
433	1599	2085
434	1602	2081
435	1605	2077
436	1608	2072
437	1612	2069
438	1615	2064
439	1618	2060
440	1621	2055
441	1625	2051
442	1628	2046
443	1631	2042
444	1635	2039
445	1638	2035
446	1641	2031
447	1645	2026
448	1648	2022
449	1651	2018
450	1655	2014
451	1658	2011
452	1661	2006
453	1665	2003
454	1669	1999
455	1672	1995
456	1675	1991
457	1679	1987
458	1682	1983
459	1686	1979
460	1689	1974
461	1692	1970
462	1695	1966
463	1699	1962
464	1702	1958
465	1706	1955
466	1708	1950
467	1712	1946
468	1715	1942
469	1718	1938
470	1721	1933
471	1724	1929
472	1727	1925
473	1730	1920
474	1734	1916
475	1737	1912
476	1740	1908
477	1743	1904
478	1747	1900
479	1750	1896
480	1753	1891
481	1756	1887
482	1759	1883
483	1762	1879
484	1766	1875
485	1768	1870
486	1772	1867
487	1775	1862
488	1779	1859
489	1782	1855
490	1786	1852
491	1789	1848
492	1793	1844
493	1797	1841
494	1800	1837
495	1804	1833
496	1807	1829
497	1811	1826
498	1815	1822
499	1819	1819
500	1822	1815
501	1826	1811
502	1829	1808
503	1833	1804
504	1836	1800
505	1840	1797
506	1844	1793
507	1848	1790
508	1851	1786
509	1854	1782
510	1858	1778
511	1861	1774
512	1865	1770
513	1868	1766
514	1872	1763
515	1876	1759
516	1879	1756
517	1883	1753
518	1887	1749
519	1891	1745
520	1894	1741
521	1898	1738
522	1901	1734
523	1905	1730
524	1908	1726
525	1912	1723
526	1916	1719
527	1919	1715
528	1922	1711
529	1925	1707
530	1929	1704
531	1932	1699
532	1935	1696
533	1938	1691
534	1942	1688
535	1945	1683
536	1948	1679
537	1951	1675
538	1954	1671
539	1957	1667
540	1960	1663
541	1963	1659
542	1966	1655
543	1970	1651
544	1973	1647
545	1976	1643
546	1980	1639
547	1983	1635
548	1986	1631
549	1990	1628
550	1993	1624
551	1997	1620
552	2000	1617
553	2004	1613
554	2007	1609
555	2010	1605
556	2013	1601
557	2017	1597
558	2020	1593
559	2023	1590
560	2026	1586
561	2030	1582
562	2032	1577
563	2036	1574
564	2039	1570
565	2043	1566
566	2046	1562
567	2049	1558
568	2053	1555
569	2056	1551
570	2060	1547
571	2063	1544
572	2066	1540
573	2069	1536
574	2072	1532
575	2076	1528
576	2079	1524
577	2082	1520
578	2086	1516
579	2089	1513
580	2092	1509
581	2096	1505
582	2099	1501
583	2103	1498
584	2106	1494
585	2109	1490
586	2112	1486
587	2115	1482
588	2119	1478
589	2122	1474
590	2125	1470
591	2128	1466
592	2131	1463
593	2134	1459
594	2137	1455
595	2141	1451
596	2144	1447
597	2147	1443
598	2150	1439
599	2153	1435
600	2157	1432
601	2160	1428
602	2163	1424
603	2166	1420
604	2169	1416
605	2173	1413
606	2176	1409
607	2180	1405
608	2183	1401
609	2187	1398
610	2191	1394
611	2194	1391
612	2198	1387
613	2201	1383
614	2204	1380
615	2208	1376
616	2211	1372
617	2214	1368
618	2217	1364
619	2221	1361
620	2224	1357
621	2227	1353
622	2230	1349
623	2233	1345
624	2236	1341
625	2239	1338
626	2242	1334
627	2246	1330
628	2249	1326
629	2252	1322
630	2255	1318
631	2258	1315
632	2261	1311
633	2264	1307
634	2267	1303
635	2270	1299
636	2273	1295
637	2276	1291
638	2280	1288
639	2283	1284
640	2286	1280
641	2289	1276
642	2293	1273
643	2296	1269
644	2299	1265
645	2302	1261
646	2305	1257
647	2308	1253
648	2311	1250
649	2314	1246
650	2317	1242
651	2320	1238
652	2323	1234
653	2326	1231
654	2329	1227
655	2332	1223
656	2335	1219
657	2339	1215
658	2342	1212
659	2346	1208
660	2349	1204
661	2352	1201
662	2355	1197
663	2358	1193
664	2361	1189
665	2364	1186
666	2367	1182
667	2371	1178
668	2374	1174
669	2377	1170
670	2380	1167
671	2383	1163
672	2387	1159
673	2390	1156
674	2393	1152
675	2397	1149
676	2401	1145
677	2404	1142
678	2407	1138
679	2411	1134
680	2414	1131
681	2417	1127
682	2420	1123
683	2424	1120
684	2427	1116
685	2430	1112
686	2434	1109
687	2437	1105
688	2440	1101
689	2443	1097
690	2446	1093
691	2449	1090
692	2452	1086
693	2455	1082
694	2458	1078
695	2461	1075
696	2464	1071
697	2467	1067
698	2470	1063
699	2473	1059
700	2476	1056
701	2478	1052
702	2481	1048
703	2485	1044
704	2487	1041
705	2491	1037
706	2493	1033
707	2496	1029
708	2499	1026
709	2503	1022
710	2505	1018
711	2508	1014
712	2511	1011
713	2514	1007
714	2517	1003
715	2520	999
716	2523	996
717	2526	992
718	2529	988
719	2532	984
720	2535	981
721	2538	977
722	2541	973
723	2544	969
724	2547	966
725	2550	962
726	2553	958
727	2556	955
728	2559	951
729	2562	947
730	2565	943
731	2568	940
732	2571	936
733	2574	932
734	2577	929
735	2580	925
736	2583	921
737	2586	918
738	2590	914
739	2596	912
740	2600	908
741	2604	905
742	2606	901
743	2609	898
744	2612	894
745	2616	890
746	2618	887
747	2622	883
748	2624	879
749	2628	876
750	2631	872
751	2634	868
752	2637	865
753	2640	861
754	2643	857
755	2645	853
756	2649	850
757	2651	846
758	2655	843
759	2657	839
760	2660	835
761	2663	831
762	2666	828
763	2669	824
764	2672	820
765	2675	817
766	2678	813
767	2681	810
768	2684	806
769	2688	802
770	2691	799
771	2694	795
772	2697	792
773	2700	788
774	2703	784
775	2707	781
776	2710	777
777	2712	774
778	2715	770
779	2718	766
780	2722	763
781	2724	759
782	2728	756
783	2731	752
784	2734	748
785	2737	745
786	2740	741
787	2743	738
788	2746	734
789	2749	730
790	2752	727
791	2755	723
792	2757	719
793	2761	716
794	2763	712
795	2767	709
796	2770	705
797	2773	701
798	2775	698
799	2778	694
800	2782	691
801	2785	687
802	2788	684
803	2791	680
804	2794	676
805	2797	673
806	2800	669
807	2803	666
808	2806	662
809	2810	659
810	2813	655
811	2816	651
812	2818	648
813	2821	644
814	2825	641
815	2828	637
816	2831	634
817	2834	630
818	2837	627
819	2840	623
820	2843	619
821	2846	616
822	2849	612
823	2852	609
824	2855	605
825	2858	602
826	2861	598
827	2864	594
828	2867	591
829	2870	587
830	2873	584
831	2876	580
832	2879	577
833	2882	573
834	2885	570
835	2888	566
836	2891	563
837	2894	559
838	2897	555
839	2900	552
840	2903	548
841	2906	545
842	2909	541
843	2912	538
844	2915	534
845	2918	531
846	2922	527
847	2925	524
848	2929	520
849	2932	517
850	2936	514
851	2939	510
852	2943	507
853	2946	503
854	2950	500
855	2953	496
856	2957	493
857	2960	489
858	2963	486
859	2967	483
860	2970	479
861	2974	476
862	2977	472
863	2981	469
864	2985	465
865	2988	462
866	2992	459
867	2995	455
868	2999	452
869	3003	448
870	3006	445
871	3009	441
872	3013	438
873	3016	434
874	3019	431
875	3022	427
876	3026	424
877	3028	420
878	3032	417
879	3035	413
880	3038	410
881	3041	406
882	3044	403
883	3047	399
884	3050	396
885	3053	392
886	3056	389
887	3060	385
888	3063	382
889	3066	378
890	3069	375
891	3072	371
892	3075	368
893	3078	365
894	3081	361
895	3084	358
896	3087	354
897	3091	351
898	3094	347
899	3097	344
900	3100	340
901	3103	337
902	3106	333
903	3109	330
904	3112	326
905	3115	323
906	3118	319
907	3121	316
908	3125	312
909	3128	309
910	3131	305
911	3134	302
912	3137	298
913	3140	295
914	3143	292
915	3146	288
916	3149	285
917	3153	281
918	3156	278
919	3159	274
920	3162	271
921	3165	267
922	3169	264
923	3172	260
924	3176	257
925	3179	254
926	3182	250
927	3185	247
928	3188	243
929	3191	240
930	3194	236
931	3197	233
932	3200	229
933	3203	226
934	3206	222
935	3210	219
936	3213	216
937	3217	212
938	3220	209
939	3223	205
940	3226	202
941	3229	198
942	3232	195
943	3235	191
944	3238	188
945	3241	185
946	3244	181
947	3246	178
948	3250	174
949	3252	171
950	3256	167
951	3259	164
952	3262	160
953	3265	157
954	3268	153
955	3271	150
956	3274	147
957	3277	143
958	3280	140
959	3283	136
960	3286	133
961	3289	129
962	3292	126
963	3295	123
964	3298	119
965	3301	116
966	3304	112
967	3306	109
968	3309	105
969	3312	102
970	3316	99
971	3319	95
972	3322	92
973	3325	88
974	3329	85
975	3332	81
976	3335	78
977	3338	75
978	3341	71
979	3344	68
980	3347	64
981	3350	61
982	3353	57
983	3356	54
984	3359	51
985	3362	47
986	3365	44
987	3368	40
988	3371	37
989	3376	34
990	3379	30
991	3382	27
992	3385	23
993	3389	20
994	3391	17
995	3395	13
996	3398	10
997	3401	6
998	3404	3
999	3408	0
